BILLER CODE: 190483155	
BILLER:	THE NORTHSHORE SCHOOL	
A/C TO CREDIT: 0843-0014 2859565
190483155;31640;42962;4114
190483155;32337;42962;9093.4
190483155;31542;42962;4427
190483155;32060;42962;4728
190483155;32079;42962;3970
190483155;31418;42962;3851
190483155;32818;42962;6414.4
190483155;31463;42962;9740.35
190483155;31043;42962;4888
190483155;32159;42962;15284.88
190483155;32729;42962;5263
190483155;32444;42962;7904
190483155;31301;42962;6710.8
190483155;32514;42962;9654.85
190483155;30972;42962;5481
190483155;31926;42962;5155


